,bx,by,bw,bh,element
0,340,201,40,40,img
1,564,1304,24,12,img
2,689,1852,26,12,img
3,405,1873,21,12,img
4,1070,1874,26,12,img
5,480,1895,19,12,img
6,572,3098,22,11,img
7,1031,3171,26,11,img
8,201,3191,19,11,img
9,373,3222,40,11,img
10,1289,3222,43,11,img
11,524,3265,34,12,img
12,649,3266,63,11,img
13,686,3317,33,11,img
14,575,3339,46,11,img
15,331,3360,26,12,img
16,691,3533,24,12,img
17,914,3557,30,10,img
18,1164,4129,88,31,img
19,1258,4129,88,31,img
20,536,191,105,16,a
21,766,191,82,16,a
22,395,213,103,16,a
23,600,213,50,16,a
24,741,213,70,16,a
25,395,214,797,37,a
26,216,270,111,16,a
27,716,270,58,16,a
28,1233,270,26,16,a
29,1291,270,50,16,a
30,396,343,137,16,a
31,1102,343,156,16,a
32,589,365,99,16,a
33,1233,387,109,16,a
34,456,409,50,16,a
35,611,438,136,16,a
36,977,438,58,16,a
37,1094,438,201,16,a
38,649,460,81,16,a
39,209,518,258,20,a
40,236,538,231,20,a
41,236,559,231,20,a
42,236,580,231,20,a
43,209,602,258,20,a
44,209,623,258,20,a
45,209,644,258,20,a
46,236,664,231,20,a
47,236,686,231,20,a
48,236,707,231,20,a
49,236,728,231,20,a
50,209,750,258,20,a
51,209,771,258,20,a
52,209,792,258,20,a
53,209,814,258,20,a
54,316,875,21,16,a
55,258,914,21,16,a
56,598,974,109,16,a
57,527,1018,122,16,a
58,269,1103,21,16,a
59,460,1134,113,16,a
60,275,1174,21,16,a
61,298,1205,132,16,a
62,1124,1205,81,16,a
63,201,1227,135,16,a
64,501,1278,84,16,a
65,322,1300,75,16,a
66,461,1300,85,16,a
67,749,1300,131,16,a
68,1171,1300,72,16,a
69,1021,1322,150,16,a
70,273,1345,46,16,a
71,216,1374,43,16,a
72,291,1374,62,16,a
73,565,1444,21,16,a
74,456,1523,22,16,a
75,230,1574,137,16,a
76,785,1574,156,16,a
77,433,1666,21,16,a
78,286,1695,229,16,a
79,834,1797,126,16,a
80,389,1819,89,16,a
81,480,1848,81,16,a
82,532,1892,30,16,a
83,434,1940,21,16,a
84,563,1970,135,16,a
85,643,1992,158,16,a
86,385,2032,21,16,a
87,213,2063,121,16,a
88,598,2085,119,16,a
89,725,2085,101,16,a
90,862,2085,104,16,a
91,1061,2085,165,16,a
92,589,2107,66,16,a
93,703,2136,158,16,a
94,463,2198,21,16,a
95,228,2229,247,16,a
96,536,2229,216,16,a
97,599,2295,124,16,a
98,828,2295,105,16,a
99,1055,2295,124,16,a
100,201,2295,1079,38,a
101,878,2346,43,16,a
102,465,2390,18,16,a
103,623,2390,97,16,a
104,1010,2390,80,16,a
105,483,2412,84,16,a
106,714,2412,117,16,a
107,863,2412,176,16,a
108,1099,2412,183,16,a
109,505,2519,21,16,a
110,311,2543,116,16,a
111,459,2543,137,16,a
112,399,2616,49,16,a
113,381,2758,21,16,a
114,213,2789,118,16,a
115,684,2789,126,16,a
116,847,2789,135,16,a
117,1183,2811,95,16,a
118,201,2862,171,16,a
119,587,2862,116,16,a
120,1076,2862,174,16,a
121,337,2884,148,16,a
122,553,2932,21,16,a
123,420,2962,48,16,a
124,533,3013,89,16,a
125,235,3093,35,16,a
126,362,3093,121,16,a
127,472,3122,111,16,a
128,615,3122,213,16,a
129,677,3144,413,16,a
130,1209,3144,51,16,a
131,446,3166,109,16,a
132,757,3217,105,16,a
133,735,3261,104,16,a
134,201,3334,100,16,a
135,939,3334,43,16,a
136,201,3334,1121,38,a
137,441,3404,21,16,a
138,604,3434,104,16,a
139,958,3463,74,16,a
140,1144,3463,118,16,a
141,311,3485,66,16,a
142,886,3485,51,16,a
143,434,3507,77,16,a
144,674,3551,57,16,a
145,763,3551,68,16,a
146,295,3694,21,16,a
147,223,3722,334,16,a
148,323,3770,21,16,a
149,223,3799,94,16,a
150,455,3799,310,16,a
151,773,3799,69,16,a
152,850,3799,30,16,a
153,884,3799,124,16,a
154,1016,3799,19,16,a
155,1039,3799,87,16,a
156,660,3822,117,16,a
157,785,3822,30,16,a
158,819,3822,124,16,a
159,223,3845,112,16,a
160,343,3845,114,16,a
161,511,3845,458,16,a
162,977,3845,94,16,a
163,1079,3845,30,16,a
164,1113,3845,95,16,a
165,223,3869,104,16,a
166,381,3869,345,16,a
167,223,3892,114,16,a
168,912,3892,63,16,a
169,983,3892,30,16,a
170,1017,3892,124,16,a
171,223,3916,146,16,a
172,759,3916,30,16,a
173,793,3916,95,16,a
174,223,3939,95,16,a
175,372,3939,264,16,a
176,741,3939,185,16,a
177,934,3939,30,16,a
178,968,3939,95,16,a
179,207,3981,69,16,a
180,288,3982,137,16,a
181,440,3982,204,16,a
182,658,3982,158,16,a
183,1111,11,21,15,a
184,1141,11,74,15,a
185,1224,11,83,15,a
186,1316,11,34,15,a
187,177,40,53,40,a
188,230,40,38,40,a
189,990,40,46,40,a
190,1036,40,39,40,a
191,1075,40,87,40,a
192,8,0,160,160,a
193,27,187,57,15,a
194,27,206,50,15,a
195,27,225,80,15,a
196,27,244,84,15,a
197,27,263,88,15,a
198,27,282,59,15,a
199,27,301,40,15,a
200,27,360,26,15,a
201,27,379,97,15,a
202,27,398,90,15,a
203,27,417,59,15,a
204,27,475,85,15,a
205,27,494,94,15,a
206,27,513,79,15,a
207,27,532,83,15,a
208,27,551,94,15,a
209,27,570,74,15,a
210,27,589,76,15,a
211,27,648,100,15,a
212,27,667,92,15,a
213,27,726,36,15,a
214,27,745,46,15,a
215,27,764,34,15,a
216,27,783,57,15,a
217,27,802,45,15,a
218,27,821,47,15,a
219,27,840,53,15,a
220,90,890,62,15,a
221,339,4085,274,15,a
222,960,4085,73,15,a
223,1060,4085,73,15,a
224,229,4101,148,15,a
